ticker,year,source,data_class,records,start,end,missing_close
BWE,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
C32,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
C32,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
C32,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
C32,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
C32,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
C32,2025,finance_datareader_yahoo_hose,real,260,2025-01-01,2025-12-31,0
C47,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
C47,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
C47,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
C47,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
C47,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
C47,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CCI,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CCI,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CCI,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CCI,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CCI,2024,finance_datareader_yahoo_hose,real,258,2024-01-01,2024-12-31,0
CCI,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CCL,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CCL,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
CCL,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CCL,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CCL,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
CCL,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
CDC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CDC,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CDC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CDC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CDC,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
CDC,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
CHP,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CHP,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CHP,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CHP,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CHP,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
CHP,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
CIG,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CIG,2021,fdr_window_replaced_by_cafef_crosscheck,real,139,2021-06-22,2021-12-31,0
CIG,2021,finance_datareader_yahoo_hose,real,122,2021-01-01,2021-06-21,0
CIG,2022,fdr_window_replaced_by_cafef_crosscheck,real,260,2022-01-03,2022-12-30,0
CIG,2023,fdr_window_replaced_by_cafef_crosscheck,real,260,2023-01-02,2023-12-29,0
CIG,2024,fdr_window_replaced_by_cafef_crosscheck,real,255,2024-01-01,2024-12-31,0
CIG,2025,fdr_window_replaced_by_cafef_crosscheck,real,259,2025-01-01,2025-12-31,0
CII,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CII,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CII,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CII,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CII,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
CII,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
CKG,2020,finance_datareader_yahoo_hose,real,201,2020-03-26,2020-12-31,0
CKG,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CKG,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CKG,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CKG,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
CKG,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CLC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CLC,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
CLC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CLC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CLC,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
CLC,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CLL,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CLL,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CLL,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CLL,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CLL,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
CLL,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CLW,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CLW,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
CLW,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CLW,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CLW,2024,finance_datareader_yahoo_hose,real,259,2024-01-01,2024-12-31,0
CLW,2025,finance_datareader_yahoo_hose,real,260,2025-01-01,2025-12-31,0
CMG,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CMG,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CMG,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CMG,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CMG,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
CMG,2025,finance_datareader_yahoo_hose,real,261,2025-01-01,2025-12-31,0
CMV,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CMV,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CMV,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CMV,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CMV,2024,finance_datareader_yahoo_hose,real,256,2024-01-01,2024-12-31,0
CMV,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CMX,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CMX,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CMX,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CMX,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CMX,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
CMX,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CNG,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CNG,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CNG,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CNG,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CNG,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
CNG,2025,finance_datareader_yahoo_hose,real,255,2025-01-01,2025-12-31,0
COM,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
COM,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
COM,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
COM,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
COM,2024,finance_datareader_yahoo_hose,real,259,2024-01-01,2024-12-31,0
COM,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CRC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CRC,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
CRC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
CRC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
CRC,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
CRC,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
CRE,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
CRE,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
CRE,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
